software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
Chainguard FIPS Provider for OpenSSL (SHA3_CE),,,,,not_found,,,,,,,
Chainguard FIPS Provider for OpenSSL (SHA_AVX),,,,,not_found,,,,,,,
Chainguard FIPS Provider for OpenSSL (SHA_SHANI),,,,,not_found,,,,,,,
Chainguard FIPS Provider for OpenSSL (SHA_SSSE3),,,,,not_found,,,,,,,
Check Point Quantum,cpe:2.3:h:checkpoint:quantum_security_management:-:*:*:*:*:*:*:*,checkpoint,quantum_security_management,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=check%20point%20quantum,2026-08-07,,,,,
Checkmarx One,,,,,not_found,,,,,,,
Chelpis Quantum PQC (Taiwan),,,,,not_found,,,,,,,
China Telecom Quantum Group,,,,,not_found,,,,,,,
ChromeOS,,,,,not_found,,,,,,,
chrony (NTS-KE),,,,,not_found,,,,,,,
Ciena WaveLogic 6 Extreme,,,,,not_found,,,,,,,
Cilium Service Mesh PQC,,,,,not_found,,,,,,,
CipherLinq,,,,,not_found,,,,,,,
CipherPlus PQC Cryptographic Module,,,,,not_found,,,,,,,
CIQ Rocky Linux CAVP PQC,,,,,not_found,,,,,,,
CIRCL,cpe:2.3:a:secretcircle:secret_circle_-_talk_freely:2.2.00.26:*:*:*:*:android:*:*,secretcircle,secret_circle_-_talk_freely,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=circl%20circl,2026-08-07,,,,,
CircleCI,,,,,not_found,,,,,,,
CISA PQC Migration Framework,,,,,not_found,,,,,,,
Cisco AI Defense (formerly Robust Intelligence Platform),,,,,not_found,,,,,,,
Cisco ASA (Adaptive Security Appliance),,,,,not_found,,,,,,,
Cisco Catalyst 9500 PQC,,,,,not_found,,,,,,,
Cisco Catalyst Center,cpe:2.3:a:cisco:dna_center:1.2.5:*:*:*:*:*:*:*,cisco,dna_center,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cisco%20catalyst%20center,2026-08-07,,,,,
Cisco Identity Services Engine (ISE),cpe:2.3:h:cisco:identity_services_engine:-:*:*:*:*:*:*:*,cisco,identity_services_engine,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cisco%20identity%20services%20engine%20%28ise%29,2026-08-07,,,,,
Cisco IOS XE PQC,,,,,not_found,,,,,,,
Cisco IOS XR,cpe:2.3:o:cisco:ios_xr_for_crs-1:-:*:*:*:*:*:*:*,cisco,ios_xr_for_crs-1,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cisco%20ios%20xr,2026-08-07,,,,,
Cisco Meraki MX (Cloud-Managed Firewall),,,,,not_found,,,,,,,
Cisco Secure Client (AnyConnect),,,,,not_found,,,,,,,
Cisco Webex,cpe:2.3:a:cisco:webex_recording_format_player:27.21.10:*:*:*:*:*:*:*,cisco,webex_recording_format_player,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cisco%20webex,2026-08-07,,,,,
citadel_pqcrypto,,,,,not_found,,,,,,,
Citrix ADC (NetScaler),,,,,not_found,,,,,,,
Citrix CVAD,,,,,not_found,,,,,,,
Citrix Virtual Apps and Desktops,cpe:2.3:a:citrix:virtual_apps_and_desktops:1903:*:*:*:ltsr:*:*:*,citrix,virtual_apps_and_desktops,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=citrix%20virtual%20apps%20and%20desktops,2026-08-07,,,,,
Claroty Platform,,,,,not_found,,,,,,,
Classic McEliece Reference,,,,,not_found,,,,,,,
CLEAR Cryptosystem,,,,,not_found,,,,,,,
Cloudera Cryptographic Module for Java,,,,,not_found,,,,,,,
Cloudflare CIRCL,cpe:2.3:a:cloudflare:circl:1.3.3:*:*:*:*:go:*:*,cloudflare,circl,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cloudflare%20circl,2026-08-07,,,,,
Cloudflare Edge Network,,,,,not_found,,,,,,,
Cloudflare Zero Trust,,,,,not_found,,,,,,,
Cloudian-FJA (FIPS Java API),,,,,not_found,,,,,,,
CockroachDB Encryption,,,,,not_found,,,,,,,
Code Siren Post-Quantum Cryptographic (PQC) Library,,,,,not_found,,,,,,,
Codebat ML-DSA Cryptographic Engine,,,,,not_found,,,,,,,
Codegic Khatim PKI Server,,,,,not_found,,,,,,,
Codegic Khatim Sign Server,,,,,not_found,,,,,,,
Cohesity DataCloud,,,,,not_found,,,,,,,
Coinbase Custody,,,,,not_found,,,,,,,
Commvault Cloud,,,,,not_found,,,,,,,
composite_mkcert,,,,,not_found,,,,,,,
Confluent Cloud Kafka PQC,,,,,not_found,,,,,,,
Copper.co,,,,,not_found,,,,,,,
coreboot,cpe:2.3:o:coreboot:coreboot:4.13:*:*:*:*:*:*:*,coreboot,coreboot,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=coreboot%20coreboot,2026-08-07,,,,,
CoreDNS PQC DNSSEC,,,,,not_found,,,,,,,
Cosmian covercrypt,,,,,not_found,,,,,,,
Cosmian KMS,,,,,not_found,,,,,,,
Cosmos/Tendermint,,,,,not_found,,,,,,,
Cranium AI Security Platform,,,,,not_found,,,,,,,
CREDEBL,,,,,not_found,,,,,,,
CrowdStrike Falcon,cpe:2.3:a:crowdstrike:falcon:6.31.14505.0:*:*:*:*:*:*:*,crowdstrike,falcon,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=crowdstrike%20falcon,2026-08-07,,,,,
Crucible,,,,,not_found,,,,,,,
Crypto Quantique QDID Platform,,,,,not_found,,,,,,,
Crypto++ (cryptopp),,,,,not_found,,,,,,,
Crypto4A QxEDGE,,,,,not_found,,,,,,,
Crypto4A QxHSM,,,,,not_found,,,,,,,
Crypto4A QxVault,,,,,not_found,,,,,,,
