software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
Entrust Signing Automation,ACVP,A7990,Entrust Corporation,PQSDK,LMS,,Active,2026-01-30,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20796
Entrust Signing Automation,FIPS 140-3,4338,Entrust,"nShield F3 10+ 500+ 6000+ & nShield F3 500+ 1500+ 6000+ for nShield Connect+, Connect CLX and HSMi",ML-DSA; SLH-DSA,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4338
Entrust Signing Automation,FIPS 140-3,4336,Entrust,nShield F2 500+ & nShield F2 1500+ & nShield F2 6000+,ML-DSA; SLH-DSA,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4336
Entrust Signing Automation,FIPS 140-3,4335,Entrust,nShield Solo XC F3 & nShield Solo XC F3 for nShield Connect XC and for nShield HSMi,ML-DSA; SLH-DSA,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4335
Entrust Signing Automation,FIPS 140-3,4333,Entrust,nShield Solo XC F2,ML-DSA; SLH-DSA,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4333
Entrust Signing Automation,FIPS 140-3,4332,Entrust,MiniHSM & MiniHSM for nShield Edge F3,ML-DSA; SLH-DSA,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4332
Entrust Signing Automation,FIPS 140-3,4331,Entrust,MiniHSM & MiniHSM for nShield Edge F2,ML-DSA; SLH-DSA,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4331
Entrust Signing Automation,FIPS 140-3,4765,Entrust,nShield 5s Hardware Security Module,ML-DSA; SLH-DSA,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4765
Entrust nShield,ACVP,A7285,Entrust Corporation,nShield 5 Algorithm Library - nCore,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-07-30,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20056
Entrust nShield,ACVP,A7990,Entrust Corporation,PQSDK,LMS,,Active,2026-01-30,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20796
Entrust nShield,FIPS 140-3,4338,Entrust,"nShield F3 10+ 500+ 6000+ & nShield F3 500+ 1500+ 6000+ for nShield Connect+, Connect CLX and HSMi",LMS; ML-DSA; ML-KEM; SLH-DSA; XMSS,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4338
Entrust nShield,FIPS 140-3,4336,Entrust,nShield F2 500+ & nShield F2 1500+ & nShield F2 6000+,LMS; ML-DSA; ML-KEM; SLH-DSA; XMSS,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4336
Entrust nShield,FIPS 140-3,4335,Entrust,nShield Solo XC F3 & nShield Solo XC F3 for nShield Connect XC and for nShield HSMi,LMS; ML-DSA; ML-KEM; SLH-DSA; XMSS,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4335
Entrust nShield,FIPS 140-3,4333,Entrust,nShield Solo XC F2,LMS; ML-DSA; ML-KEM; SLH-DSA; XMSS,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4333
Entrust nShield,FIPS 140-3,4332,Entrust,MiniHSM & MiniHSM for nShield Edge F3,LMS; ML-DSA; ML-KEM; SLH-DSA; XMSS,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4332
Entrust nShield,FIPS 140-3,4331,Entrust,MiniHSM & MiniHSM for nShield Edge F2,LMS; ML-DSA; ML-KEM; SLH-DSA; XMSS,FIPS 140-3 L3,Active,2022-10-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4331
Entrust nShield,FIPS 140-3,4765,Entrust,nShield 5s Hardware Security Module,LMS; ML-DSA; ML-KEM; SLH-DSA; XMSS,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4765
F5 BIG-IP,FIPS 140-3,4414,"F5, Inc.",F5® vCMP Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2023-01-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4414
F5 BIG-IP,FIPS 140-3,4417,"F5, Inc.",F5® Device Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2023-01-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4417
F5 BIG-IP,FIPS 140-3,4716,"F5, Inc.",Cryptographic Module for BIG-IP ®,ML-KEM,FIPS 140-3 L3,Active,2024-07-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4716
F5 BIG-IP,FIPS 140-3,4895,"F5, Inc.",Cryptographic Module for BIG-IP,ML-KEM,FIPS 140-3 L3,Active,2024-11-21,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4895
F5 BIG-IP,FIPS 140-3,4945,"F5, Inc.",BIG-IP Tenant Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2025-01-17,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4945
F5 BIG-IP,FIPS 140-3,5023,"F5, Inc.",OpenSSL Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2025-06-08,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5023
F5 BIG-IP,FIPS 140-3,5045,"F5, Inc.",F5OS-A Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2025-07-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5045
F5 BIG-IP,FIPS 140-3,5056,"F5, Inc.",Device Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2025-09-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5056
FileVault (macOS),ACVP,A7637,Apple Inc.,"Apple corecrypto Module [Apple silicon, Kernel, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20368
FileVault (macOS),ACVP,A7649,Apple Inc.,"Apple corecrypto Module [Apple silicon, Secure Key Store, Hardware, SL2] (c_ltc)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20372
FileVault (macOS),ACVP,A7645,Apple Inc.,"Apple corecrypto Module [Apple silicon, User, Software, SL1] (vng_hwassist)","ML-DSA, ML-KEM",,Active,2025-10-31,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20361
FileVault (macOS),FIPS 140-3,4392,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Kernel, Software]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4392
FileVault (macOS),FIPS 140-3,4391,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, User, Software]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4391
FileVault (macOS),FIPS 140-3,4390,Apple Inc.,"Apple corecrypto Module v11.1 [Intel, Kernel, Software]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4390
FileVault (macOS),FIPS 140-3,4389,Apple Inc.,"Apple corecrypto Module v11.1 [Intel, User, Software]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4389
FileVault (macOS),FIPS 140-3,4757,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4757
FileVault (macOS),FIPS 140-3,4756,Apple Inc.,"Apple corecrypto Module v11.1 [Apple silicon, Secure Key Store, Hardware] (SL2)",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4756
FileVault (macOS),FIPS 140-3,4817,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, User, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-10-01,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4817
FileVault (macOS),FIPS 140-3,4854,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Kernel, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-10-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4854
FileVault (macOS),FIPS 140-3,4919,Apple Inc.,"Apple corecrypto Module v13.0 [Intel, Kernel, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-12-17,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4919
FileVault (macOS),FIPS 140-3,4948,Apple Inc.,"Apple corecrypto Module v13.0 [Intel, User, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-01-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4948
FileVault (macOS),FIPS 140-3,4951,"Apple, Inc.","Apple corecrypto Module v12 [Intel, User, Software]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-01-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4951
FileVault (macOS),FIPS 140-3,4956,"Apple, Inc.","Apple corecrypto Module v12 [Intel, Kernel, Software]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-01-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4956
FileVault (macOS),FIPS 140-3,5025,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Secure Key Store, Hardware, SL2]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-06-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5025
FileVault (macOS),FIPS 140-3,5030,Apple Inc.,"Apple corecrypto Module v12.0 [Apple silicon, Secure Key Store, Hardware, SL2/PHY3]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-06-25,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5030
FileVault (macOS),FIPS 140-3,5050,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, Kernel, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-07-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5050
FileVault (macOS),FIPS 140-3,5065,Apple Inc.,"Apple corecrypto Module v13.0 [Apple silicon, User, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-09-22,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5065
FileVault (macOS),FIPS 140-3,5101,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, Kernel, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-12-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5101
FileVault (macOS),FIPS 140-3,5108,Apple Inc.,"Apple corecrypto Module v14.1 [Apple silicon, User, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-12-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5108
FileVault (macOS),FIPS 140-3,5184,Apple Inc.,"Apple corecrypto Module 18.3 [Apple silicon, User, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2026-03-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5184
FileVault (macOS),FIPS 140-3,5202,Apple Inc.,"Apple corecrypto Module v14.0 [Intel, Kernel, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2026-03-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5202
FileVault (macOS),FIPS 140-3,5201,Apple Inc.,"Apple corecrypto Module v14.0 [Intel, User, Software, SL1]",ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2026-03-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5201
Fortanix Data Security Manager,ACVP,A5344,"Fortanix, Inc.",Fortanix Crypto Algorithm Library,LMS,,Active,2024-05-22,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=17995
Fortanix Data Security Manager,FIPS 140-3,4139,"Fortanix, Inc.",Fortanix SDKMS Appliance,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-01-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4139
Fortinet FortiGate (FortiOS),FIPS 140-3,4415,"Fortinet, Inc.",FortiGate-VM 6.4 and 7.0,ML-KEM,FIPS 140-3 L3,Active,2023-01-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4415
Fortinet FortiGate (FortiOS),FIPS 140-3,4497,"Fortinet, Inc.",FortiGate Next-Generation Firewalls with FortiOS 6.4/7.0,ML-KEM,FIPS 140-3 L3,Active,2023-05-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4497
Fortinet FortiGate (FortiOS),FIPS 140-3,4608,"Fortinet, Inc.",FortiGate-6300F/6301F/6500F/6501F,ML-KEM,FIPS 140-3 L3,Active,2023-09-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4608
Fortinet FortiGate (FortiOS),FIPS 140-3,4607,"Fortinet, Inc.",FortiGate-VM,ML-KEM,FIPS 140-3 L3,Active,2023-09-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4607
Fortinet FortiGate (FortiOS),FIPS 140-3,4613,"Fortinet, Inc.",FortiGate-5001E1 Blade with FortiGate-5144C Chassis,ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4613
Fortinet FortiGate (FortiOS),FIPS 140-3,4612,"Fortinet, Inc.",FortiGate-600D/1200D/1500D/3000D/3700D and FortiGate-5001D with FortiGate-5144C Chassis,ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4612
Fortinet FortiGate (FortiOS),FIPS 140-3,4611,"Fortinet, Inc.",FortiGate-61E/61F/81E/101E/101F and FortiWiFi-61E,ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4611
Fortinet FortiGate (FortiOS),FIPS 140-3,4610,"Fortinet, Inc.",FortiGate-3401E/3601E/3960E/3980E,ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4610
Fortinet FortiGate (FortiOS),FIPS 140-3,4609,"Fortinet, Inc.",FortiGate-201E/301E/401E/501E/601E,ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4609
Fortinet FortiGate (FortiOS),FIPS 140-3,4931,Fortinet Technologies Inc.,FortiClient Crypto Library,ML-KEM,FIPS 140-3 L3,Active,2024-12-20,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4931
Fortinet FortiOS,FIPS 140-3,4415,"Fortinet, Inc.",FortiGate-VM 6.4 and 7.0,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-01-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4415
Fortinet FortiOS,FIPS 140-3,4497,"Fortinet, Inc.",FortiGate Next-Generation Firewalls with FortiOS 6.4/7.0,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-05-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4497
Fortinet FortiOS,FIPS 140-3,4608,"Fortinet, Inc.",FortiGate-6300F/6301F/6500F/6501F,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-09-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4608
Fortinet FortiOS,FIPS 140-3,4607,"Fortinet, Inc.",FortiGate-VM,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-09-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4607
Fortinet FortiOS,FIPS 140-3,4613,"Fortinet, Inc.",FortiGate-5001E1 Blade with FortiGate-5144C Chassis,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4613
Fortinet FortiOS,FIPS 140-3,4612,"Fortinet, Inc.",FortiGate-600D/1200D/1500D/3000D/3700D and FortiGate-5001D with FortiGate-5144C Chassis,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4612
Fortinet FortiOS,FIPS 140-3,4611,"Fortinet, Inc.",FortiGate-61E/61F/81E/101E/101F and FortiWiFi-61E,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4611
Fortinet FortiOS,FIPS 140-3,4610,"Fortinet, Inc.",FortiGate-3401E/3601E/3960E/3980E,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4610
Fortinet FortiOS,FIPS 140-3,4609,"Fortinet, Inc.",FortiGate-201E/301E/401E/501E/601E,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2023-09-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4609
Fortinet FortiOS,FIPS 140-3,4931,Fortinet Technologies Inc.,FortiClient Crypto Library,BIKE; HQC; ML-KEM,FIPS 140-3 L3,Active,2024-12-20,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4931
Futurex Cloud,ACVP,A7998,Futurex LP,GSP4000 Hardware Security Module,"ML-DSA, ML-KEM",,Active,2026-02-04,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20805
Futurex CryptoHub,ACVP,A7998,Futurex LP,GSP4000 Hardware Security Module,"ML-DSA, ML-KEM",,Active,2026-02-04,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20805
